s/n,Rand 1,Rand 2,Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
36,0.918738971,0.678811277,22/03/2022,Plastic Food Bottle,House Collection,NA,OLD AIRPORT ROAD
37,0.561182203,0.743560787,18/06/2022,Sauce Bottle,Self Disposal,NA,KOH SEK LIM ROAD
38,0.526303661,0.157375126,05/05/2022,Irons,House Collection,Ezi,NA
39,0.067771538,0.36151789,20/04/2022,Bodywash Bottle,House Collection,Alba E-waste Smart Recycling,NA
40,0.566274407,0.15285167,18/03/2022,Rice Cookers,House Collection,Ezi,NA
41,0.225284176,0.020872501,25/03/2022,Glass Cosmetic Bottle,House Collection,Greensquare,NA
42,0.741316271,0.243086931,16/05/2022,Gift Wrapping Paper,Self Disposal,Tidy,NA
43,0.571430942,0.312905106,02/05/2022,Cutlery,Self Disposal,Alba,NA
44,0.6858385,0.932878434,24/01/2022,Sandals,Self Disposal,NA,KRANJI LINK
45,0.144868601,0.763793324,30/06/2022,Facial Cleanser Bottle,House Collection,NA,PASIR RIS STREET 13
46,0.841741643,0.244954538,30/05/2022,Namecard,Self Disposal,Tidy,NA
47,0.784456838,0.716698474,08/04/2022,Paper Packaging,Self Disposal,NA,MARINE VISTA
48,0.933351014,0.32527082,25/01/2022,Medicine Blister Pack,House Collection,Alba E-waste Smart Recycling,NA
49,0.294791562,0.519361294,19/06/2022,Paint Container,Self Disposal,NA,SAINT JOHN'S ISLAND
50,0.055978795,0.053067032,02/05/2022,Bodywash Bottle,House Collection,Passiton.org,NA
51,0.668588738,0.998241211,01/02/2022,Reusable Bags,House Collection,NA,PUNGGOL WAY
52,0.288140183,0.018662824,06/02/2022,Paint Container,House Collection,Greensquare,NA
53,0.853444089,0.986063066,29/04/2022,Ceramic,Self Disposal,NA,NIM GREEN
54,0.996581294,0.507721759,11/04/2022,Shampoo Bottle,House Collection,NA,SOUTH BRIDGE ROAD
55,0.219167846,0.50108657,17/06/2022,Glass Cosmetic Bottle,Self Disposal,NA,BAYFRONT AVENUE
56,0.132063941,0.769901894,04/05/2022,Detergent Bottle,Self Disposal,NA,TAMPINES STREET 11
57,0.616077103,0.701671063,01/03/2022,Potato Chip Bag,House Collection,NA,LORONG H TELOK KURAU
58,0.738246466,0.792483348,28/03/2022,Beer Bottle,House Collection,NA,JALAN LEPAS
59,0.613833495,0.640001115,12/03/2022,Electric Mobility Scooters,Self Disposal,NA,SUFFOLK ROAD
60,0.085563588,0.823996383,30/05/2022,Bodywash Bottle,House Collection,NA,CARDIFF GROVE
61,0.695533378,0.371637023,01/07/2022,Plastic Cutlery,House Collection,PWC-Alba-WH,NA
62,0.525050932,0.817855649,04/06/2022,Printed Paper,House Collection,NA,SERANGOON GARDEN WAY
63,0.135570001,0.662493892,28/03/2022,Detergent Bottle,Self Disposal,NA,WOODSVILLE CLOSE
64,0.043981119,0.409381196,27/03/2022,Aerosol Can,House Collection,PWC-Sembwaste,NA
65,0.197789281,0.02587846,29/01/2022,Glass Cosmetic Bottle,House Collection,Greensquare,NA
66,0.340057479,0.126202661,17/04/2022,Shampoo Bottle,Self Disposal,Salvation Army,NA
67,0.445309414,0.294807231,27/05/2022,Biscuit Tin,Self Disposal,Alba,NA
68,0.744937225,0.964630484,02/04/2022,Irons,House Collection,NA,CANBERRA DRIVE
69,0.632753244,0.345924296,27/04/2022,Tablets,House Collection,Alba E-waste Smart Recycling,NA
70,0.531856664,0.87512289,08/05/2022,Towels,House Collection,NA,BANYAN VIEW
71,0.670791303,0.481606089,06/05/2022,Crockery,Self Disposal,PWC-800 Super,NA
72,0.586553134,0.334676449,14/01/2022,Slippers,House Collection,Alba E-waste Smart Recycling,NA
73,0.680774787,0.908101828,18/05/2022,Brochure,Self Disposal,NA,BUKIT BATOK STREET 24
74,0.105664184,0.190543804,17/01/2022,Detergent Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
75,0.277811894,0.438772536,03/03/2022,Paint Container,House Collection,PWC-Sembwaste,NA
76,0.652236818,0.416812952,03/03/2022,Servers,House Collection,PWC-Sembwaste,NA
77,0.747847825,0.882544233,04/06/2022,Belts,Self Disposal,NA,JURONG HILL
78,0.78465406,0.674616233,24/06/2022,Tissue Box,House Collection,NA,LORONG BACHOK
79,0.727588913,0.807001792,21/06/2022,Toys,House Collection,NA,LORONG NAPIRI
80,0.814786214,0.874360155,21/04/2022,Plastic Cutlery,Self Disposal,NA,SUNVIEW DRIVE
81,0.490796598,0.499846111,20/02/2022,Canned Food Can,Self Disposal,PWC-800 Super,NA
82,0.289955474,0.341311381,10/06/2022,Paint Container,House Collection,Alba E-waste Smart Recycling,NA
83,0.648268342,0.766154439,09/04/2022,Backpacks,Self Disposal,NA,PASIR RIS LINK
84,0.096105863,0.918746344,05/01/2022,Detergent Bottle,Self Disposal,NA,JALAN SIAP
85,0.87968392,0.695420442,07/06/2022,Bubble Wrap,House Collection,NA,JALAN SENANG
86,0.041963829,0.584484842,09/06/2022,Aerosol Can,House Collection,NA,CLAYMORE HILL
87,0.74887386,0.132493432,07/04/2022,Shorts,Self Disposal,Salvation Army,NA
88,0.190436395,0.168495744,26/04/2022,Glass Cosmetic Bottle,House Collection,Ezi,NA
89,0.103409158,0.611844412,26/06/2022,Detergent Bottle,Self Disposal,NA,FORD AVENUE
90,0.588100662,0.152370059,07/06/2022,High Chairs,House Collection,Ezi,NA
91,0.519992029,0.66158137,08/05/2022,Condiment Bottle,Self Disposal,NA,BRADDELL ROAD
92,0.277562313,0.957962775,18/03/2022,Paint Container,House Collection,NA,JALAN MACHANG
93,0.010951276,0.84946846,22/01/2022,Aerosol Can,Self Disposal,NA,HINDHEDE WALK
94,0.142849784,0.869953466,20/03/2022,Facial Cleanser Bottle,House Collection,NA,CORPORATION RISE
95,0.177637508,0.881275843,14/01/2022,Facial Cleanser Bottle,Self Disposal,NA,PIONEER ROAD
96,0.641597273,0.83707568,20/03/2022,CD Case,House Collection,NA,THOMSON HEIGHTS
97,0.642986427,0.536284179,25/05/2022,Namecard,Self Disposal,NA,CLEMENTI AVENUE 2
98,0.273308184,0.343466083,22/02/2022,Paint Container,House Collection,Alba E-waste Smart Recycling,NA
99,0.96257849,0.817862055,25/02/2022,Red Packet,House Collection,NA,SERANGOON GARDEN WAY
100,0.122319889,0.040009356,10/02/2022,Detergent Bottle,House Collection,Greensquare,NA
101,0.871917783,0.946111244,27/06/2022,Long Fluorescent Tubes,House Collection,NA,MARSILING INDUSTRIAL ESTATE ROAD 8
102,0.897805717,0.724441096,12/03/2022,Food Jar,House Collection,NA,JEDBURGH GARDENS
103,0.536851486,0.400673319,13/03/2022,Styrofoam,House Collection,PWC-Alba-WH,NA
104,0.01579523,0.714169239,03/03/2022,Aerosol Can,Self Disposal,NA,GREEN LANE
105,0.474578486,0.744255462,30/04/2022,Canned Food Can,House Collection,NA,CHANGI SOUTH STREET 3
106,0.914024391,0.843060749,09/05/2022,Paper Towel,House Collection,NA,JALAN LEBAN
107,0.26225258,0.408102981,10/02/2022,Glass Medicine Bottle,House Collection,PWC-Alba-WH,NA
108,0.144371548,0.062824763,12/01/2022,Facial Cleanser Bottle,House Collection,Passiton.org,NA
109,0.35439825,0.602141741,02/02/2022,Shampoo Bottle,Self Disposal,NA,MARGOLIOUTH ROAD
110,0.15534268,0.548478876,06/05/2022,Facial Cleanser Bottle,House Collection,NA,MARGARET DRIVE
111,0.200190737,0.564104055,24/03/2022,Glass Cosmetic Bottle,Self Disposal,NA,SEAH STREET
112,0.967625724,0.714076792,07/04/2022,Skirts,Self Disposal,NA,GREEN LANE
113,0.511457947,0.069267185,13/06/2022,Tables,House Collection,Passiton.org,NA
114,0.946604096,0.804071713,22/04/2022,Belts,Self Disposal,NA,TEOW HOCK AVENUE
115,0.77899707,0.471007277,31/05/2022,Metal Drink Can,Self Disposal,PWC-800 Super,NA
116,0.762496502,0.359954229,25/05/2022,Paper Bag,House Collection,Alba E-waste Smart Recycling,NA
117,0.729391046,0.393778411,25/04/2022,Canned Food/Drinks,House Collection,PWC-Alba-WH,NA
118,0.823961251,0.786955631,07/04/2022,Writing Paper,House Collection,NA,SURIN LANE
119,0.570805823,0.436159598,09/01/2022,Chairs,House Collection,PWC-Sembwaste,NA
120,0.383398901,0.988195032,29/03/2022,Beer Bottle,House Collection,NA,CACTUS CRESCENT
121,0.378359183,0.172392774,10/05/2022,Beer Bottle,House Collection,Ezi,NA
122,0.034537153,0.669610113,17/02/2022,Aerosol Can,House Collection,NA,JALAN CHENGKEK
123,0.042407304,0.366973828,16/02/2022,Aerosol Can,House Collection,PWC-Alba-WH,NA
124,0.705510053,0.777341751,23/02/2022,Rice Cookers,House Collection,NA,TAMPINES GRANDE
125,0.604200606,0.192095529,01/05/2022,Plastic Clothes Hanger,House Collection,Gee Hoe Seng Pte Ltd,NA
126,0.814683919,0.683462203,23/02/2022,Paper Towel,Self Disposal,NA,LORONG 8 GEYLANG
127,0.969470194,0.267641934,17/05/2022,Desktop Monitors,Self Disposal,Tidy,NA
128,0.615907199,0.019253426,20/02/2022,Paper Towel,House Collection,Greensquare,NA
129,0.651328538,0.318006681,09/03/2022,Desktop Monitors,Self Disposal,Alba,NA
130,0.583338409,0.611673949,14/01/2022,Namecard,House Collection,NA,FOURTH AVENUE
131,0.561609414,0.662636773,16/04/2022,Bubble Wrap,Self Disposal,NA,WOODLEIGH PARK
132,0.181659172,0.105093414,08/05/2022,Facial Cleanser Bottle,Self Disposal,Salvation Army,NA
133,0.229554937,0.134326385,06/05/2022,Glass Medicine Bottle,Self Disposal,Salvation Army,NA
134,0.546044854,0.166462129,31/01/2022,Tissue Box,House Collection,Ezi,NA
135,0.24628958,0.971802377,16/05/2022,Glass Medicine Bottle,House Collection,NA,SPRINGSIDE DRIVE
136,0.396436839,0.366532227,02/02/2022,Beer Bottle,House Collection,PWC-Alba-WH,NA
137,0.107561525,0.574320316,09/01/2022,Detergent Bottle,Self Disposal,NA,BEATTY ROAD
138,0.122691492,0.083839279,06/06/2022,Detergent Bottle,House Collection,Passiton.org,NA
139,0.01700748,0.903622901,12/06/2022,Aerosol Can,House Collection,NA,JURONG WEST STREET 74
140,0.192182273,0.543476543,18/04/2022,Glass Cosmetic Bottle,House Collection,NA,FUSIONOPOLIS VIEW
141,0.170758098,0.417010956,24/06/2022,Facial Cleanser Bottle,House Collection,PWC-Sembwaste,NA
142,0.817285131,0.314836689,18/02/2022,Glass Cosmetic Bottle,Self Disposal,Alba,NA
143,0.833259364,0.556491786,20/02/2022,Baking Glassware,Self Disposal,NA,INDUS ROAD
144,0.742977898,0.125160593,20/04/2022,Paper Receipt,Self Disposal,Salvation Army,NA
145,0.262548726,0.895168988,16/06/2022,Glass Medicine Bottle,House Collection,NA,YUNNAN CRESCENT
146,0.75847851,0.473982639,06/04/2022,Condiment Bottle,Self Disposal,PWC-800 Super,NA
147,0.808975206,0.736808533,23/06/2022,Instant Noodles,Self Disposal,NA,PRIMROSE AVENUE
148,0.311703943,0.616140368,05/02/2022,Paint Container,Self Disposal,NA,RIDGEWOOD CLOSE
149,0.923278426,0.073673177,20/05/2022,Toilet Paper Roll,House Collection,Passiton.org,NA
150,0.708799864,0.917005586,19/02/2022,Pants,House Collection,NA,SENJA CLOSE
151,0.637235052,0.389095031,30/03/2022,Plant,House Collection,PWC-Alba-WH,NA
152,0.28337163,0.415649994,29/05/2022,Paint Container,House Collection,PWC-Sembwaste,NA
153,0.766216903,0.772356575,07/06/2022,Dolls,Self Disposal,NA,TAMPINES STREET 44
154,0.838357559,0.397828513,14/01/2022,Glass Drink Bottle,House Collection,PWC-Alba-WH,NA
155,0.366277295,0.602792839,12/01/2022,Beer Bottle,Self Disposal,NA,JALAN KEMBANG MELATI
156,0.223946345,0.242232672,24/04/2022,Glass Cosmetic Bottle,Self Disposal,Tidy,NA
157,0.551459567,0.115930295,19/02/2022,Crockery,Self Disposal,Salvation Army,NA
158,0.007450191,0.581507831,21/02/2022,Aerosol Can,House Collection,NA,MOUNT ELIZABETH
159,0.00691483,0.659824738,23/03/2022,Aerosol Can,House Collection,NA,JALAN KEMBOJA
160,0.942060898,0.096017048,20/04/2022,Plastic Bag,Self Disposal,Salvation Army,NA
161,0.519332566,0.287393006,15/05/2022,Paint Container,Self Disposal,Alba,NA
162,0.359704376,0.309639999,11/04/2022,Shampoo Bottle,Self Disposal,Alba,NA
163,0.074179252,0.178210815,16/05/2022,Bodywash Bottle,House Collection,Ezi,NA
164,0.182575232,0.833099187,20/02/2022,Glass Cosmetic Bottle,Self Disposal,NA,BISHAN STREET 24
165,0.193179793,0.19443667,04/02/2022,Glass Cosmetic Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
166,0.513114442,0.797547201,27/04/2022,Servers,House Collection,NA,RIVERVALE STREET
167,0.439892892,0.420793499,01/03/2022,Biscuit Tin,House Collection,PWC-Sembwaste,NA
168,0.011942981,0.890847784,08/02/2022,Aerosol Can,Self Disposal,NA,TUAS SOUTH AVENUE 12
169,0.379734764,0.156264831,26/01/2022,Beer Bottle,House Collection,Ezi,NA
170,0.658544738,0.689590668,13/02/2022,Shampoo Bottle,House Collection,NA,LORONG MARICAN
171,0.157756522,0.151584849,10/04/2022,Facial Cleanser Bottle,House Collection,Ezi,NA
172,0.761167748,0.772655217,12/03/2022,Gift Wrapping Paper,House Collection,NA,TAMPINES STREET 45
173,0.255190963,0.542846823,09/02/2022,Glass Medicine Bottle,Self Disposal,NA,BIOPOLIS STREET
174,0.962607619,0.742236773,19/02/2022,Red Packet,House Collection,NA,UPPER CHANGI ROAD EAST
175,0.057634812,0.902243014,24/01/2022,Bodywash Bottle,Self Disposal,NA,JURONG WEST STREET 62
176,0.134456781,0.734636577,12/06/2022,Detergent Bottle,House Collection,NA,KEW HEIGHTS
177,0.818241618,0.687976214,08/04/2022,Food Jar,House Collection,NA,EUNOS AVENUE 6
178,0.601440738,0.152785924,26/04/2022,Bubble Wrap,House Collection,Ezi,NA
179,0.22775377,0.011758822,20/02/2022,Glass Medicine Bottle,House Collection,Greensquare,NA
180,0.98777443,0.288204369,15/02/2022,Canned Food/Drinks,Self Disposal,Alba,NA
181,0.404147338,0.423411439,21/05/2022,Beer Bottle,House Collection,PWC-Sembwaste,NA
182,0.774184402,0.316372193,02/06/2022,Instant Noodle Bag,Self Disposal,Alba,NA
183,0.115896981,0.933495966,28/05/2022,Detergent Bottle,House Collection,NA,SUNGEI KADUT WAY
184,0.548592344,0.230932224,05/06/2022,Toys,Self Disposal,Tidy,NA
185,0.676927514,0.383925171,21/01/2022,Disposable Wooden Chopstick,House Collection,PWC-Alba-WH,NA
186,0.226857346,0.400871099,28/06/2022,Glass Cosmetic Bottle,House Collection,PWC-Alba-WH,NA
187,0.747441163,0.746827369,13/05/2022,Toys,House Collection,NA,SEA BREEZE GROVE
188,0.346049196,0.382677457,01/03/2022,Shampoo Bottle,House Collection,PWC-Alba-WH,NA
189,0.131870341,0.473187233,11/02/2022,Detergent Bottle,Self Disposal,PWC-800 Super,NA
190,0.664626389,0.766578427,06/02/2022,Telephone Directory,House Collection,NA,PASIR RIS GREEN
191,0.094423547,0.166019935,01/06/2022,Detergent Bottle,House Collection,Ezi,NA
192,0.165072784,0.025924719,31/01/2022,Facial Cleanser Bottle,House Collection,Greensquare,NA
193,0.855748836,0.715056808,11/05/2022,Diaper,House Collection,NA,CLACTON ROAD
194,0.035235592,0.249325793,22/06/2022,Aerosol Can,Self Disposal,Tidy,NA
195,0.656493872,0.108508084,04/03/2022,Video Tape,Self Disposal,Salvation Army,NA
196,0.807368498,0.067138522,20/02/2022,Backpacks,House Collection,Passiton.org,NA
197,0.230511172,0.993641009,28/04/2022,Glass Medicine Bottle,House Collection,NA,JALAN LEBAT DAUN
198,0.026517448,0.913590223,20/03/2022,Aerosol Can,Self Disposal,NA,JALAN INTAN
199,0.276599853,0.479262654,01/03/2022,Paint Container,Self Disposal,PWC-800 Super,NA
200,0.838371357,0.027354342,09/06/2022,Jam Bottle,House Collection,Greensquare,NA
201,0.941970223,0.280795493,28/06/2022,Paper Towel Roll,Self Disposal,Alba,NA
202,0.881082127,0.008112538,23/04/2022,Greeting Card,House Collection,Greensquare,NA
203,0.275138509,0.931861071,18/05/2022,Paint Container,House Collection,NA,LIM CHU KANG LANE 9
204,0.75365369,0.513128459,23/03/2022,Washing Machines,House Collection,NA,KRETA AYER ROAD
205,0.607424188,0.086585229,04/01/2022,Toy Cars,House Collection,Passiton.org,NA
206,0.229437102,0.684619161,12/05/2022,Glass Medicine Bottle,Self Disposal,NA,EUNOS ROAD 5
207,0.692688134,0.144218465,28/05/2022,Printer Ink Cartridge,House Collection,Ezi,NA
208,0.299790575,0.568234404,04/03/2022,Paint Container,House Collection,NA,MAUDE ROAD
209,0.035208425,0.062199368,11/06/2022,Aerosol Can,House Collection,Passiton.org,NA
210,0.45796507,0.021731416,15/06/2022,Canned Food Can,House Collection,Greensquare,NA
211,0.293542873,0.046179772,19/03/2022,Paint Container,House Collection,Passiton.org,NA
212,0.526731936,0.400715295,23/03/2022,Sandals,House Collection,PWC-Alba-WH,NA
213,0.435803939,0.614122775,02/01/2022,Biscuit Tin,Self Disposal,NA,HOLLAND DRIVE
214,0.61253374,0.550601234,14/02/2022,Servers,Self Disposal,NA,COMMONWEALTH LANE
215,0.798845421,0.162177708,29/03/2022,Juice Carton,House Collection,Ezi,NA
216,0.098549224,0.128702503,05/01/2022,Detergent Bottle,Self Disposal,Salvation Army,NA
217,0.935596958,0.259656094,14/03/2022,Sanitary Pad,Self Disposal,Tidy,NA
218,0.631067531,0.547672025,19/02/2022,Cutlery,House Collection,NA,DOVER AVENUE
219,0.863380185,0.912561154,27/06/2022,Shredded Paper,House Collection,NA,GOMBAK RISE
220,0.413532534,0.161261911,27/03/2022,Biscuit Tin,House Collection,Ezi,NA
221,0.892671248,0.382751666,20/01/2022,Televisions,House Collection,PWC-Alba-WH,NA
222,0.305935213,0.304744505,22/05/2022,Paint Container,Self Disposal,Alba,NA
223,0.722108023,0.179770015,18/02/2022,Magazine,House Collection,Ezi,NA
224,0.857804719,0.284680336,14/06/2022,Canned Food Can,Self Disposal,Alba,NA
225,0.198731524,0.384317066,10/05/2022,Glass Cosmetic Bottle,House Collection,PWC-Alba-WH,NA
226,0.809692982,0.645239423,18/02/2022,Tables,House Collection,NA,TOA PAYOH EAST
227,0.990720095,0.917359084,09/04/2022,Wireless Access Points,House Collection,NA,DAIRY FARM LANE
228,0.155421798,0.80912361,19/06/2022,Facial Cleanser Bottle,House Collection,NA,JALAN MERDU
229,0.171946167,0.022865014,31/03/2022,Facial Cleanser Bottle,House Collection,Greensquare,NA
230,0.455563766,0.503870878,18/01/2022,Canned Food Can,House Collection,NA,PEKIN STREET
231,0.143104933,0.0985625,20/05/2022,Facial Cleanser Bottle,Self Disposal,Salvation Army,NA
232,0.22337716,0.003065557,24/06/2022,Glass Cosmetic Bottle,House Collection,Greensquare,NA
233,0.756566787,0.02521125,08/05/2022,Plant,House Collection,Greensquare,NA
234,0.242192872,0.142135374,03/01/2022,Glass Medicine Bottle,House Collection,Ezi,NA
235,0.752449237,0.218025126,10/04/2022,Light Bulbs,House Collection,Gee Hoe Seng Pte Ltd,NA
236,0.811820168,0.953601136,17/01/2022,Wireless Access Points,House Collection,NA,JALAN KANDIS
237,0.423003046,0.903018164,15/04/2022,Biscuit Tin,Self Disposal,NA,JURONG WEST STREET 71
238,0.912650783,0.225033072,08/04/2022,Washing Machines,House Collection,Gee Hoe Seng Pte Ltd,NA
239,0.70604434,0.497794269,26/03/2022,Markers,Self Disposal,PWC-800 Super,NA
240,0.600035099,0.516717426,23/02/2022,Juice Carton,House Collection,NA,COVE GROVE
241,0.333941522,0.419472899,28/03/2022,Shampoo Bottle,House Collection,PWC-Sembwaste,NA
242,0.211631584,0.620833697,20/02/2022,Glass Cosmetic Bottle,House Collection,NA,HOLLAND RISE
243,0.284599332,0.902907176,13/05/2022,Paint Container,Self Disposal,NA,JURONG WEST CENTRAL 3
244,0.783203762,0.352187178,01/07/2022,Plastic Clothes Hanger,House Collection,Alba E-waste Smart Recycling,NA
245,0.289002721,0.981607056,22/01/2022,Paint Container,House Collection,NA,SELETAR WEST FARMWAY 1
246,0.521403209,0.600321801,27/02/2022,Sauce Bottle,House Collection,NA,STEVENS CLOSE
247,0.880806651,0.932996716,15/05/2022,Glass Cup,Self Disposal,NA,KRANJI LINK
248,0.758219842,0.572804447,13/05/2022,Biscuit Tin,House Collection,NA,HAMILTON ROAD
249,0.785759173,0.195739036,16/02/2022,Pencils,House Collection,Gee Hoe Seng Pte Ltd,NA
250,0.830816447,0.370989323,02/05/2022,Network Hubs,House Collection,PWC-Alba-WH,NA
251,0.151115047,0.808060175,20/06/2022,Facial Cleanser Bottle,House Collection,NA,KANG CHOO BIN WALK
252,0.289765938,0.656199772,28/02/2022,Paint Container,House Collection,NA,JALAN KOLAM AYER
253,0.012851829,0.048366482,18/03/2022,Aerosol Can,House Collection,Passiton.org,NA
254,0.817833169,0.661482494,21/02/2022,Beer Bottle,House Collection,NA,WOODLEIGH LANE
255,0.364151829,0.463497877,12/06/2022,Beer Bottle,Self Disposal,PWC-800 Super,NA
256,0.753059623,0.989695469,14/04/2022,Personal Mobility Devices,House Collection,NA,SELETAR TERRACE
257,0.933197304,0.450442676,09/01/2022,Instant Noodle Bag,House Collection,PWC-Sembwaste,NA
258,0.953094959,0.015307154,12/06/2022,Instant Noodle Bag,House Collection,Greensquare,NA
259,0.841685606,0.52822444,04/02/2022,Metal Bottle Cap,House Collection,NA,ZEHNDER ROAD
260,0.157425416,0.825892933,12/01/2022,Facial Cleanser Bottle,Self Disposal,NA,ANG MO KIO AVENUE 1
261,0.703470909,0.289508402,27/04/2022,Plastic Bag,Self Disposal,Alba,NA
262,0.25479321,0.337275503,11/06/2022,Glass Medicine Bottle,House Collection,Alba E-waste Smart Recycling,NA
263,0.51173736,0.996026918,17/06/2022,Crockery,Self Disposal,NA,BEGONIA DRIVE
264,0.703817729,0.682800054,23/01/2022,Plastic Egg Tray,Self Disposal,NA,LORONG 20 GEYLANG
265,0.046367894,0.075143026,22/03/2022,Bodywash Bottle,House Collection,Passiton.org,NA
266,0.379197365,0.372780772,06/03/2022,Beer Bottle,House Collection,PWC-Alba-WH,NA
267,0.242926765,0.168753498,10/02/2022,Glass Medicine Bottle,House Collection,Ezi,NA
268,0.296772886,0.111505982,09/04/2022,Paint Container,Self Disposal,Salvation Army,NA
269,0.9624627,0.574437313,04/05/2022,Printed Paper,House Collection,NA,BEATTY LANE
270,0.503544128,0.691476834,21/02/2022,Magazine Wrapper,House Collection,NA,WARINGIN PARK
271,0.393008751,0.21504072,15/06/2022,Beer Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
272,0.19484836,0.619237119,22/02/2022,Glass Cosmetic Bottle,House Collection,NA,LASIA AVENUE
273,0.652045536,0.233947224,07/05/2022,Printers,Self Disposal,Tidy,NA
274,0.705763156,0.084602077,20/04/2022,Sandals,House Collection,Passiton.org,NA
275,0.672055742,0.831373744,27/05/2022,Routers,Self Disposal,NA,ANG MO KIO STREET 62
276,0.56638572,0.925679808,19/02/2022,Toasters,House Collection,NA,VERDE VIEW
277,0.418061287,0.429690718,25/01/2022,Biscuit Tin,House Collection,PWC-Sembwaste,NA
278,0.415560301,0.391473177,12/02/2022,Biscuit Tin,House Collection,PWC-Alba-WH,NA
279,0.957950621,0.726129297,26/05/2022,Metal Drink Can,Self Disposal,NA,JALAN BINTANG TIGA
280,0.278872822,0.059973837,13/06/2022,Paint Container,House Collection,Passiton.org,NA
281,0.11020755,0.647070616,15/06/2022,Detergent Bottle,Self Disposal,NA,TOA PAYOH INDUSTRIAL PARK
282,0.936665133,0.018063238,14/02/2022,Glass Medicine Bottle,House Collection,Greensquare,NA
283,0.396041721,0.600746952,10/04/2022,Beer Bottle,House Collection,NA,SOMMERVILLE ESTATE ROAD
284,0.494302287,0.455126154,07/02/2022,Canned Food Can,Self Disposal,PWC-800 Super,NA
285,0.388980488,0.420875402,29/03/2022,Beer Bottle,House Collection,PWC-Sembwaste,NA
286,0.506317738,0.177081272,26/05/2022,Tissue Box,House Collection,Ezi,NA
287,0.111822918,0.634618704,01/01/2022,Detergent Bottle,House Collection,NA,MERRYN DRIVE
